same,dht,page,padam,linga,Image Caption,Imaage link,alnk,,unicode,,,,,,,
,हरिणः,9,हरिणः,p,hariṇaḥ,https://openmoji.org/data/color/svg/1F98C.svg,imgs/bp09/u09.mp3,,1F98C,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F98C.png,9
,चित्रोष्ट्रः,9,चित्रोष्ट्रः,p,citroṣṭraḥ,https://openmoji.org/data/color/svg/1F992.svg,imgs/bp09/u10.mp3,,1F992,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F992.png,10
,गजः ,9,गजः ,p,gajaḥ,https://openmoji.org/data/color/svg/1F418.svg,imgs/bp03/u02.mp3,,1F418,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F418.png,11
,शृगालः,9,शृगालः,p,śṛgālaḥ,https://openmoji.org/data/color/svg/1F98A.svg,imgs/bp09/u12.mp3,,1F98A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F98A.png,12
,उत्तिष्ठति,9,उत्तिष्ठति,k,uttiṣṭhati,imgs/bp09/c13.png,imgs/bp09/u13.mp3,,,,,,,,,13
,उपविशति,9,उपविशति,k,upaviśati,imgs/bp09/c14.png,imgs/bp09/u14.mp3,,,,,,,,,14
,आगच्छति,9,तिष्ठति,k,tiṣṭhati,imgs/bp09/c15.png,imgs/bp10/u13.mp3,,,,,,,,,15
,वृक्षः,10,वृक्षः,p,vr̥kṣaḥ,https://openmoji.org/data/color/svg/1F333.svg,imgs/bp02/u03.mp3,,1F333,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F333.png,1
,चन्द्रः,10,चन्द्रः,p,candraḥ,https://openmoji.org/data/color/svg/1F31C.svg,imgs/bp10/u02.mp3,,1F31C,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F31C.png,2
,इन्द्रचापः,10,इन्द्रचापः,p,indracāpaḥ,https://openmoji.org/data/color/svg/1F308.svg,imgs/bp10/u03.mp3,,1F308,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F308.png,3
,अग्निपर्वतः,10,अग्निपर्वतः,p,agniparvataḥ,https://openmoji.org/data/color/svg/1F30B.svg,imgs/bp10/u04.mp3,,1F30B,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F30B.png,4
,द्वीपः ,10,द्वीपः ,p,dvīpaḥ,https://openmoji.org/data/color/svg/1F3DD.svg,imgs/bp10/u05.mp3,,1F3DD,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F3DD.png,5
,अनलः ,10,अनलः ,p,analaḥ,https://openmoji.org/data/color/svg/1F525.svg,imgs/bp10/u06.mp3,,1F525,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F525.png,6
,कूपः ,10,कूपः ,p,kūpaḥ,imgs/bp10/c08.png,imgs/bp10/u07.mp3,,,,,,,,,7
,नीडः,10,नीडः,p,nīḍaḥ,imgs/bp10/c09.png,imgs/bp10/u08.mp3,,,,,,,,,8
,नक्षत्रम् ,10,नक्षत्रम् ,n,nakṣatram,https://openmoji.org/data/color/svg/2B50.svg,imgs/bp03/u11.mp3,,2B50,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/2B50.png,9
,उद्यानम्,10,उद्यानम्,n,udyānam,imgs/bp10/c10.png,imgs/bp10/u10.mp3,,,,,,,,,10
,तृणम्,10,तृणम्,n,tṛṇam,imgs/bp10/c11.png,imgs/bp10/u11.mp3,,,,,,,,,11
,हिमम्,10,हिमम्,n,himam,imgs/bp10/c12.png,imgs/bp10/u12.mp3,,,,,,,,,12
,तिष्ठति,10,निद्राति,k,nidrāti,imgs/bp10/c13.png,imgs/bp10/26u13.mp3,,,,,,,,,13
,आह्वयति ,10,आह्वयति ,k,āhvayati,https://openmoji.org/data/color/svg/1F919.svg,imgs/bp10/u14.mp3,,1F919,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F919.png,14
,,10,वदति ,k,vadati,https://openmoji.org/data/color/svg/1F5E3.svg,imgs/bp11/u15.mp3,,1F5E3,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F5E3.png,15
,,11,मयूरः ,p,mayūraḥ,https://openmoji.org/data/color/svg/1F99A.svg,imgs/bp03/u01.mp3,,1F99A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F99A.png,1
,,11,उलूकः,p,ulūkaḥ,https://openmoji.org/data/color/svg/1F989.svg,imgs/bp11/u02.mp3,,1F989,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F989.png,2
,,11,कुक्कुटः,p,kukkuṭaḥ,https://openmoji.org/data/color/svg/1F413.svg,imgs/bp11/u03.mp3,,1F413,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F413.png,3
,,11,कपोतः,p,kapotaḥ,https://openmoji.org/data/color/svg/E009.svg,imgs/bp11/u04.mp3,,E009,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/E009.png,4
,,11,गरुडः,p,garuḍaḥ,https://openmoji.org/data/color/svg/1F985.svg,imgs/bp11/u05.mp3,,1F985,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F985.png,5
,,11,हंसः,p,hamsaḥ,https://openmoji.org/data/color/svg/1F9A2.svg,imgs/bp11/u06.mp3,,1F9A2,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9A2.png,6
,,11,काकः ,p,kākaḥ,https://openmoji.org/data/color/svg/1F426-200D-2B1B.svg,imgs/bp11/u07.mp3,,1F426-200D-2B1B,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F426-200D-2B1B.png,7
,,11,कोकिलः ,p,kokilaḥ,imgs/bp11/c08.png,imgs/bp11/u08.mp3,,,,,,,,,8
,,11,शुकः ,p,śukaḥ,imgs/bp11/1F99C.svg,imgs/bp11/u09.mp3,,1F99C,,,,,,,9
,,11,चटकः ,p,caṭakaḥ,imgs/bp11/c10.png,imgs/bp11/u10.mp3,,1F426,,,,,,,10
,,11,बकः,p,bakaḥ,imgs/bp11/c11.png,imgs/bp11/u11.mp3,,1F9A9,,,,,,,11
,,11,जतुका ,s,jatukā,https://openmoji.org/data/color/svg/1F987.svg,imgs/bp11/u12.mp3,,1F987,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F987.png,12
,,11,डयनं करोति ,k,,imgs/bp11/c13.png,imgs/bp11/u13.mp3,,,,,,,,,13
,गच्छति,11,गच्छति,k,gacchati,imgs/bp04/c14.png,imgs/bp02/26u15.mp3,,,,,,,,,14
,,11,आगच्छति ,k,āgacchati,imgs/bp04/c13.png,imgs/bp09/u15.mp3,,,,,,,,,15
,,12,वृश्चिकः ,p,vṛścikaḥ,https://openmoji.org/data/color/svg/1F982.svg,imgs/bp12/u01.mp3,,1F982,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F982.png,1
,,12,शलभः,p,śalabhaḥ,https://openmoji.org/data/color/svg/1F997.svg,imgs/bp12/u02.mp3,,1F997,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F997.png,2
,,12,भ्रमरः,p,bhramaraḥ,https://openmoji.org/data/color/svg/1F41D.svg,imgs/bp12/u03.mp3,,1F41D,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F41D.png,3
,,12,शम्बूकः ,p,śambūkaḥ,https://openmoji.org/data/color/svg/1F40C.svg,imgs/bp12/u04.mp3,,1F40C,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F40C.png,4
,,12,तैलपः,p,tailapaḥ,https://openmoji.org/data/color/svg/1FAB3.svg,imgs/bp12/u05.mp3,,1FAB3,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FAB3.png,5
,,12,ऊर्णनाभः,p,ūrṇanābhaḥ,https://openmoji.org/data/color/svg/1F577.svg,imgs/bp12/u06.mp3,,1F577,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F577.png,6
,,12,मशकः,p,maśakaḥ,https://openmoji.org/data/color/svg/1F99F.svg,imgs/bp12/u07.mp3,,1F99F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F99F.png,7
,,12,चित्रपतङ्गः,p,citrapatangaḥ,https://openmoji.org/data/color/svg/1F98B.svg,imgs/bp12/u08.mp3,,1F98B,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F98B.png,8
,,12,कर्कटः,p,karkaṭaḥ,https://openmoji.org/data/color/svg/1F980.svg,imgs/bp12/u09.mp3,,1F980,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F980.png,9
,,12,पिपीलिका,s,pipīlikā,https://openmoji.org/data/color/svg/1F41C.svg,imgs/bp12/u10.mp3,,1F41C,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F41C.png,10
,,12,मक्षिका ,s,makṣikā,https://openmoji.org/data/color/svg/1FAB0.svg,imgs/bp12/u11.mp3,,1FAB0,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FAB0.png,11
,,12,शतपदी,s,śatapadī,imgs/bp12/c12.png,imgs/bp12/u12.mp3,,,,,,,,,12
,,12,क्षिपति,k,kṣipati,imgs/bp12/c13.png,imgs/bp12/u13.mp3,,,,,,,,,13
,,12,आरोहति,k,ārohati,imgs/bp12/c14.png,imgs/bp12/u14.mp3,,,,,,,,,14
,,12,अवरोहति,k,avarohati,imgs/bp12/c15.png,imgs/bp12/u15.mp3,,,,,,,,,15
,,13,आरक्षकः,p,ārakṣakaḥ,https://openmoji.org/data/color/svg/1F46E.svg,,,1F46E,,,,,,,
,,13,रुग्णः,p,rugṇaḥ,https://openmoji.org/data/color/svg/1F912.svg,,,1F912,,,,,,,
,,13,शिल्पकारः ,p,śilpakāraḥ,,,,,,,,,,,
,,13,पुरुषः ,p,puruṣaḥ,https://openmoji.org/data/color/svg/1F468.svg,,,1F468,,,,,,,
,,13,महिला,s,mahilā,https://openmoji.org/data/color/svg/1F469.svg,,,1F469,,,,,,,
,,13,सिक्थवर्तिका,s,sikthavartikā,https://openmoji.org/data/color/svg/1F56F.svg,,,1F56F,,,,,,,
,,13,अग्निपेटिका ,s,agnipeṭikā,,,,,,,,,,,
,,13,मापिका,s,māpikā,,,,,,,,,,,
,,13,स्थालिका ,s,sthālikā,,,,,,,,,,,
,,13,वेल्लनी,s,vellanī,,,,,,,,,,,
,,13,अण्डम्,n,aṇḍam,https://openmoji.org/data/color/svg/1F95A.svg,,,1F95A,,,,,,,
,,13,ओदनम् ,n,odanam,,,,,,,,,,,
,,13,आलिङ्गति,k,ālingati,,,,,,,,,,,
,,13,निद्राति ,k,nidrāti,,,,,,,,,,,
,,13,याचति ,k,yācati,,,,,,,,,,,
,,14,हंसः,p,hamsaḥ,https://openmoji.org/data/color/svg/1F9A2.svg,,,1F9A2,,,,,,,
,,14,मशकः,p,maśakaḥ,https://openmoji.org/data/color/svg/1F99F.svg,,,1F99F,,,,,,,
,,14,चित्रपतङ्गः,p,citrapatangaḥ,https://openmoji.org/data/color/svg/1F98B.svg,,,1F98B,,,,,,,
,,14,चषकः,p,caṣakaḥ,,,,,,,,,,,
,,14,तूणीरः ,p,tuṇīraḥ,,,,,,,,,,,
,,14,श्वेतः,p,śvetaḥ,https://openmoji.org/data/color/svg/2B1C.svg,,,2B1C,,,,,,,
,,14,कृष्णः,p,kr̥ṣṇaḥ,https://openmoji.org/data/color/svg/2B1B.svg,,,2B1B,,,,,,,
,,14,नीलः,p,nīlaḥ,https://openmoji.org/data/color/svg/1F7E6.svg,,,1F7E6,,,,,,,
,,14,पीतः,p,pītaḥ,https://openmoji.org/data/color/svg/1F7E8.svg,,,1F7E8,,,,,,,
,,14,आभरणम् ,n,ābharaṇam,,,,,,,,,,,
,,14,तीक्ष्णकम् ,n,tīkṣṇakam,,,,,,,,,,,
,,14,शिरस्त्रम्,n,śirastram,https://openmoji.org/data/color/svg/1FA96.svg,,,1FA96,,,,,,,
,,14,चोरयति ,k,corayati,,,,,,,,,,,
,,14,चालयति ,k,cālayati,,,,,,,,,,,
,,14,ताडयति,k,tāḍayati,,,,,,,,,,,
,,15,हरितः,p,haritaḥ,https://openmoji.org/data/color/svg/1F7E9.svg,,,1F7E9,,,,,,,
,,15,पाटलः,p,pāṭalaḥ,https://openmoji.org/data/color/svg/1FA77.svg,,,1FA77,,,,,,,
,,15,केसरवर्णः,p,kesaravarṇaḥ,https://openmoji.org/data/color/svg/1F7E7.svg,,,1F7E7,,,,,,,
,,15,धूसरः,p,dhūsaraḥ,https://openmoji.org/data/color/svg/1FA76.svg,,,1FA76,,,,,,,
,,15,कपिशः,p,kapiśaḥ,https://openmoji.org/data/color/svg/1F7EB.svg,,,1F7EB,,,,,,,
,,15,नीललोहितः,p,nīlalohitaḥ,https://openmoji.org/data/color/svg/1F7EA.svg,,,1F7EA,,,,,,,
,,15,रक्तः,p,raktaḥ,https://openmoji.org/data/color/svg/1F7E5.svg,,,1F7E5,,,,,,,
,,15,ऐरावतः ,p,airāvataḥ,,,,,,,,,,,
,,15,सैनिकः,p,sainikaḥ,,,,,,,,,,,
,,15,व्याधः,p,vyādhaḥ,,,,,,,,,,,
,,15,धीवरः,p,dhīvaraḥ,,,,,,,,,,,
,,15,पत्रवितारकः,p,patravitārakaḥ,,,,,,,,,,,
,,15,आरोहति ,k,ārohati,,,,,,,,,,,
,,15,अवरोहति ,k,avarohati,,,,,,,,,,,
,,15,मार्जयति ,k,mārjayati,,,,,,,,,,,
,,16,गरुडः,p,garuḍaḥ,https://openmoji.org/data/color/svg/1F985.svg,,,1F985,,,,,,,
,,16,मण्डूकः,p,maṇḍūkaḥ,,,,,,,,,,,
,,16,नीडः,p,nīḍaḥ,,,,,,,,,,,
,,16,दाडिमः,p,dāḍimaḥ,https://openmoji.org/data/color/svg/E0C4.svg,,,E0C4,,,,,,,
,,16,द्राक्षा,s,drākṣā,https://openmoji.org/data/color/svg/1F347.svg,,,1F347,,,,,,,
,,16,कदली,s,kadalī,https://openmoji.org/data/color/svg/1F34C.svg,,,1F34C,,,,,,,
,,16,आम्रम्,n,āmram,https://openmoji.org/data/color/svg/1F96D.svg,,,1F96D,,,,,,,
,,16,सेव्यफलम्,n,sevyaphalam,https://openmoji.org/data/color/svg/1F34E.svg,,,1F34E,,,,,,,
,,16,नारिकेलम्,n,nārikelam,https://openmoji.org/data/color/svg/1F965.svg,,,1F965,,,,,,,
,,16,सूर्यकान्तिः,s,sūryakāntiḥ,https://openmoji.org/data/color/svg/1F33B.svg,,,1F33B,,,,,,,
,,16,पाटलपुष्पम्,n,pāṭalapuṣpam,https://openmoji.org/data/color/svg/1F339.svg,,,1F339,,,,,,,
,,16,कमलम्,n,kamalam,https://openmoji.org/data/color/svg/1FAB7.svg,,,1FAB7,,,,,,,
,,16,उद्घाटयति,k,udghāṭayati,,,,,,,,,,,
,,16,प्रेषयति ,k,preṣayati,,,,,,,,,,,
,,16,आह्वयति ,k,āhvayati,,,,,,,,,,,
,,17,हरितः,p,haritaḥ,https://openmoji.org/data/color/svg/1F7E9.svg,,,1F7E9,,,,,,,
,,17,पाटलः,p,pāṭalaḥ,https://openmoji.org/data/color/svg/1FA77.svg,,,1FA77,,,,,,,
,,17,केसरवर्णः,p,kesaravarṇaḥ,https://openmoji.org/data/color/svg/1F7E7.svg,,,1F7E7,,,,,,,
,,17,धूसरः,p,dhūsaraḥ,https://openmoji.org/data/color/svg/1FA76.svg,,,1FA76,25FE,,,,,,
,,17,कपिशः,p,kapiśaḥ,https://openmoji.org/data/color/svg/1F7EB.svg,,,1F7EB,,,,,,,
,,17,नीललोहितः,p,nīlalohitaḥ,https://openmoji.org/data/color/svg/1F7EA.svg,,,1F7EA,,,,,,,
,,17,रक्तः,p,raktaḥ,https://openmoji.org/data/color/svg/1F7E5.svg,,,1F7E5,,,,,,,
,,17,श्वेतः,p,śvetaḥ,https://openmoji.org/data/color/svg/2B1C.svg,,,2B1C,,,,,,,
,,17,कृष्णः,p,kr̥ṣṇaḥ,https://openmoji.org/data/color/svg/25AA.svg,,,25AA,,,,,,,
,,17,नीलः,p,nīlaḥ,https://openmoji.org/data/color/svg/1F7E6.svg,,,1F7E6,,,,,,,
,,17,पीतः,p,pītaḥ,https://openmoji.org/data/color/svg/1F7E8.svg,,,1F7E8,,,,,,,
,,17,शुकहरितः ,p,,,,,,,,,,,,
,,17,पूजयति ,k,,,,,,,,,,,,
,,17,स्मरति ,k,,,,,,,,,,,,
,,17,प्रज्वालयति ,k,,,,,,,,,,,,
,,,कादम्ब,p,kādambaḥ,https://openmoji.org/data/color/svg/1F986.svg,,,1F986,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,वसति,,वसति,k,vasati,,imgs/bp10/u15.mp3,,,,,,,,,
,,,मधुमक्षिका,s,madhumakṣikā,https://openmoji.org/data/color/svg/1F41D.svg,,,1F41D,,,,,,,
