same,dht,page,padam,linga,Image Caption,Imaage link,alnk,,unicode,,,,,,,
,लिखति,2,लिखति,k,likhati,imgs/bp03/c13.png,imgs/bp03/u13.mp3,,270D,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/270D.png,13
,पठति,2,पठति,k,paṭhati,imgs/bp03/c14.png,imgs/bp03/u14.mp3,,,,,,,,,14
,गच्छति,2,गच्छति,k,gacchati,imgs/bp04/c14.png,imgs/bp02/26u15.mp3,,,,,,,,,15
,क्रीडकः,3,क्रीडकः,p,kr̥īḍakaḥ,imgs/bp03/c06.png,imgs/bp03/u06.mp3,,26F9-FE0F-200D-2642-FE0F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/26F9-FE0F-200D-2642-FE0F.png,1
,नापितः ,3,नापितः ,p,nāpitaḥ,imgs/bp03/26c02.png,imgs/bp03/26u02.mp3,,,,,,,,,2
,शिल्पकारः ,3,शिल्पकारः ,p,śilpakāraḥ,imgs/bp03/26c03.png,imgs/bp03/26u03.mp3,,,,,,,,,3
,पाचकः ,3,पाचकः ,p,pācakaḥ,https://openmoji.org/data/color/svg/1F9D1-200D-1F373.svg,imgs/bp03/26u04.mp3,,1F9D1-200D-1F373,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9D1-200D-1F373.png,4
,आरक्षकः,3,आरक्षकः,p,ārakṣakaḥ,https://openmoji.org/data/color/svg/1F46E.svg,imgs/bp03/26u05.mp3,,1F46E,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F46E.png,5
,रुग्णः,3,रुग्णः,p,rugṇaḥ,https://openmoji.org/data/color/svg/1F912.svg,imgs/bp03/26u06.mp3,,1F912,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F912.png,6
,विदूषकः ,3,विदूषकः ,p,vidūṣakaḥ,https://openmoji.org/data/color/svg/1F921.svg,imgs/bp03/26u07.mp3,,1F921,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F921.png,7
,गायिका,3,गायिका,s,gāyikā,imgs/bp04/c06.png,imgs/bp03/26u08.mp3,,1F9D1-200D-1F3A4,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9D1-200D-1F3A4.png,8
,वैद्या,3,वैद्या,s,vaidyā,imgs/bp05/c06.png,imgs/bp03/26u09.mp3,,E300,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/E300.png,9
,चालिका,3,चालिका,s,cālikā,imgs/bp03/26c10.png,imgs/bp03/26u10.mp3,,,,,,,,,10
,चित्रकारी,3,चित्रकारी,s,citrakārī,imgs/bp03/26c11.png,imgs/bp03/26u11.mp3,,,,,,,,,11
,नर्तकी,3,नर्तकी,s,nartakī,imgs/bp04/c08.png,imgs/bp03/26u12.mp3,,,,,,,,,12
,क्रीडति ,3,क्रीडति,k,krīḍati,imgs/bp03/26c13.png,imgs/bp03/26u13.mp3,,,,,,,,,13
,गायति,3,गायति,k,gāyati,https://openmoji.org/data/color/svg/1F9D1-200D-1F3A4.svg,imgs/bp03/26u14.mp3,,1F9D1-200D-1F3A4,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9D1-200D-1F3A4.png,14
,हसति,3,हसति,k,hasati,https://openmoji.org/data/color/svg/1F642.svg,imgs/bp03/26u15.mp3,,1F642,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F642.png,15
,दर्पणः,4,दर्पणः,p,drapaṇaḥ,https://openmoji.org/data/color/svg/1FA9E.svg,imgs/bp04/u01.mp3,,1FA9E,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FA9E.png,1
,चषकः,4,चषकः,p,caṣakaḥ,https://openmoji.org/data/color/svg/1F95B.svg,imgs/bp04/u02.mp3,,1F95B,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F95B.png,2
,चमसः,4,चमसः,p,camasaḥ,https://openmoji.org/data/color/svg/1F944.svg,imgs/bp04/u03.mp3,,1F944,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F944.png,3
,कुञ्चिका,4,कुञ्चिका,s,kuṇcikā,https://openmoji.org/data/color/svg/1F511.svg,imgs/bp04/u04.mp3,,1F511,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F511.png,4
,यानपेटिका,4,यानपेटिका,s,yānapēṭikā,https://openmoji.org/data/color/svg/1F9F3.svg,imgs/bp04/u05.mp3,,1F9F3,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9F3.png,5
,द्विचक्रिका,4,द्विचक्रिका,s,dvicakrikā,https://openmoji.org/data/color/svg/1F6B2.svg,imgs/bp04/u06.mp3,,1F6B2,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F6B2.png,6
,छुरिका,4,छुरिका,s,churikā,https://openmoji.org/data/color/svg/1F52A.svg,imgs/bp04/u07.mp3,,1F52A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F52A.png,7
,कर्तरी,4,कर्तरी,s,kartarī,https://openmoji.org/data/color/svg/2702.svg,imgs/bp04/u08.mp3,,2702,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/2702.png,8
,घटी,4,घटी,s,ghaṭī,https://openmoji.org/data/color/svg/23F0.svg,imgs/bp04/u09.mp3,,23F0,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/23F0.png,9
,कन्दुकम्,4,कन्दुकम्,n,kandukam,https://openmoji.org/data/color/svg/1F3C0.svg,imgs/bp04/u10.mp3,,1F3C0,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F3C0.png,10
,दूरदर्शनम्,4,दूरदर्शनम्,n,dūradarśanam,imgs/bp05/c12.png,imgs/bp04/u11.mp3,,,,,,,,,11
,लोकयानम्,4,लोकयानम्,n,lokayānaṁ,imgs/bp05/c10.png,imgs/bp04/u12.mp3,,1F68C,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F68C.png,12
,ददाति,4,स्वीकरोति,k,svīkaroti,imgs/bp04/26c13.png,imgs/bp04/u13.mp3,,,,,,,,,13
,स्वीकरोति,4,क्रीणाति,k,krīṇāti,imgs/bp04/26c14.png,imgs/bp04/u14.mp3,,,,,,,,,14
,क्रीणाति,4,ददाति,k,dadāti,imgs/bp04/26c15.png,imgs/bp04/u15.mp3,,,,,,,,,15
,आसन्दः,5,आसन्दः,p,āsandaḥ,https://openmoji.org/data/color/svg/1FA91.svg,imgs/bp05/u01.mp3,,1FA91,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FA91.png,1
,ग्रन्थालयः,5,ग्रन्थालयः,p,granthālayaḥ,imgs/bp05/c11.png,imgs/bp05/u11.mp3,,,,,,,,,2
,उत्पीठिका,5,उत्पीठिका,s,utpīṭhikā,imgs/bp05/26c02.png,imgs/bp05/u02.mp3,,,,,,,,,3
,मापिका,5,मापिका,s,māpikā,imgs/bp05/26c03v2.png,imgs/bp05/u03.mp3,,1F4CF,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F4CF.png,4
,रन्ध्रिका ,5,रन्ध्रिका ,s,randhrikā,imgs/bp05/c04.png,imgs/bp05/u04.mp3,,,,,,,,,5
,अङ्कनी,5,अङ्कनी,s,ankanī,https://openmoji.org/data/color/svg/270F.svg,imgs/bp05/u05.mp3,,270F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/270F.png,6
,लेखनी,5,लेखनी,s,lekhanī,https://openmoji.org/data/color/svg/1F58A.svg,imgs/bp05/u06.mp3,,1F58A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F58A.png,7
,योजिनी ,5,योजिनी ,s,yojinī,imgs/bp05/c07.png,imgs/bp05/u07.mp3,,,,,,,,,8
,तीक्ष्णकम् ,5,तीक्ष्णकम् ,n,tīkṣṇakam,imgs/bp05/c08.png,imgs/bp05/u08.mp3,,,,,,,,,9
,सङ्गणकम्,5,सङ्गणकम्,n,sangaṇakam,https://openmoji.org/data/color/svg/1F4BB.svg,imgs/bp05/u09.mp3,,1F4BB,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F4BB.png,10
,पुस्तकम्,5,पुस्तकम्,n,pustakam,https://openmoji.org/data/color/svg/1F4D5.svg,imgs/bp05/u10.mp3,,1F4D5,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F4D5.png,11
,क्रीडाङ्गणम्,5,क्रीडाङ्गणम्,n,krīḍāngaṇam,imgs/bp05/26c12.png,imgs/bp05/u12.mp3,,1F6DD,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F6DD.png,12
,नयति ,5,नयति ,k,nayati,imgs/bp05/c13.png,imgs/bp05/u13.mp3,,,,,,,,,13
,आनयति,5,आनयति,k,ānayati,imgs/bp05/c14.png,imgs/bp05/u14.mp3,,,,,,,,,14
,पश्यति,5,पश्यति,k,pashyati,imgs/bp02/c15.png,imgs/bp06/u13.mp3,,1F9D0,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9D0.png,15
,तालः,6,तालः,p,tālaḥ,https://openmoji.org/data/color/svg/1F512.svg,imgs/bp02/u06.mp3,,1F512,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F512.png,1
,दन्तकूर्चः,6,दन्तकूर्चः,p,dantakūrcaḥ,https://openmoji.org/data/color/svg/1FAA5.svg,imgs/bp03/u04.mp3,,1FAA5,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FAA5.png,2
,नौका ,6,नौका ,s,naukā,https://openmoji.org/data/color/svg/26F5.svg,imgs/bp03/u09.mp3,,26F5,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/26F5.png,3
,द्रोणी,6,द्रोणी,s,droṇī,https://openmoji.org/data/color/svg/1FAA3.svg,imgs/bp03/u07.mp3,,1FAA3,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FAA3.png,4
,सम्मार्जनी,6,सम्मार्जनी,s,sammārjanī,https://openmoji.org/data/color/svg/1F9F9.svg,imgs/bp06/u12.mp3,,1F9F9,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F9F9.png,5
,युतकम्,6,युतकम्,n,yutakam,https://openmoji.org/data/color/svg/1F455.svg,imgs/bp02/u10.mp3,,1F455,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F455.png,6
,द्वारम्,6,द्वारम्,n,dvāram,https://openmoji.org/data/color/svg/1F6AA.svg,imgs/bp02/u11.mp3,,1F6AA,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F6AA.png,7
,ऊरुकम्,6,ऊरुकम्,n,ūrukam,https://openmoji.org/data/color/svg/1F456.svg,imgs/bp03/u12.mp3,,1F456,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F456.png,8
,छत्रम्,6,छत्रम्,n,chatraṁ,https://openmoji.org/data/color/svg/2602.svg,imgs/bp06/u08.mp3,,2602,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/2602.png,9
,कारयानम्,6,कार्यानम्,n,kāryānam,https://openmoji.org/data/color/svg/1F697.svg,imgs/bp06/u09.mp3,,1F697,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F697.png,10
,विमानम्,6,विमानम्,n,vimānam,https://openmoji.org/data/color/svg/1F6EB.svg,imgs/bp06/u10.mp3,,1F6EB,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F6EB.png,11
,चक्रम्,6,चक्रम्,n,cakram,https://openmoji.org/data/color/svg/1F6DE.svg,imgs/bp06/u11.mp3,,1F6DE,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F6DE.png,12
,पतति,6,पतति,k,patati,imgs/bp06/c14.png,imgs/bp06/u14.mp3,,1F320,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F320.png,13
,गृह्णाति ,6,गृह्णाति ,k,gr̥hṇāti,imgs/bp06/26c15.png,imgs/bp06/u15.mp3,,,,,,,,,14
,अस्ति,5,अस्ति,k,asti,imgs/bp06/c15v2.png,imgs/bp05/u15.mp3,,,,,,,,,15
,करदीपः,7,करदीपः,p,karadīpaḥ,https://openmoji.org/data/color/svg/1F526.svg,imgs/bp07/u01.mp3,,1F526,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F526.png,1
,समीकरः ,7,समीकरः ,p,samīkaraḥ,imgs/bp07/c02.png,imgs/bp07/u02.mp3,,,,,,,,,2
,जवनिका,7,जवनिका,s,javanikā,imgs/bp07/26c03.png,imgs/bp07/u03.mp3,,,,,,,,,3
,सिक्थवर्तिका,7,सिक्थवर्तिका,s,sikthavartikā,https://openmoji.org/data/color/svg/1F56F.svg,imgs/bp07/u04.mp3,,1F56F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F56F.png,4
,अग्निपेटिका ,7,अग्निपेटिका ,s,agnipeṭikā,imgs/bp07/c05.png,imgs/bp07/u05.mp3,,,,,,,,,5
,स्थालिका ,7,स्थालिका ,s,sthālikā,imgs/bp07/26c06.png,imgs/bp07/u06.mp3,,,,,,,,,6
,वेल्लनी,7,वेल्लनी,s,vellanī,imgs/bp07/c07.png,imgs/bp07/u07.mp3,,,,,,,,,7
,पादत्राणम्,7,पादत्राणम्,n,pādatrāṇam,imgs/bp07/c08.png,imgs/bp07/u08.mp3,,1F45F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F45F.png,8
,उपनेत्रम्,7,उपनेत्रम्,n,upanetram,https://openmoji.org/data/color/svg/1F453.svg,imgs/bp07/u09.mp3,,1F453,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F453.png,9
,सोपानम्,7,सोपानम्,n,sopānam,https://openmoji.org/data/color/svg/E202.svg,imgs/bp07/u10.mp3,,E202,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/E202.png,10
,वातायनम्,7,वातायनम्,n,vātāyanam,https://openmoji.org/data/color/svg/1FA9F.svg,imgs/bp07/u11.mp3,,1FA9F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1FA9F.png,11
,ओदनम् ,7,ओदनम् ,n,odanam,imgs/bp07/c12.png,imgs/bp07/u12.mp3,,,,,,,,,12
,स्थापयति,7,स्थापयति,k,sthāpayati,imgs/bp07/c13.png,imgs/bp07/u13.mp3,,,,,,,,,13
,प्रक्षालयति,7,प्रक्षालयति,k,prakṣālayati,imgs/bp07/c14.png,imgs/bp07/u14.mp3,,,,,,,,,14
,तरति,7,तरति,k,tarati,imgs/bp07/c15.png,imgs/bp07/26u15.mp3,,,,,,,,,15
,अश्वः,8,अश्वः,p,aśvaḥ,https://openmoji.org/data/color/svg/1F40E.svg,imgs/bp02/u01.mp3,,1F40E,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F40E.png,1
,शुनकः,8,शुनकः,p,śunakaḥ,https://openmoji.org/data/color/svg/1F436.svg,imgs/bp02/u02.mp3,,1F436,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F436.png,2
,कूर्मः,8,कूर्मः,p,kūrmaḥ,https://openmoji.org/data/color/svg/1F422.svg,imgs/bp08/u03.mp3,,1F422,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F422.png,3
,अजः,8,अजः,p,ajaḥ,https://openmoji.org/data/color/svg/1F410.svg,imgs/bp08/u04.mp3,,1F410,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F410.png,4
,मूषकः,8,मूषकः,p,mūṣakaḥ,https://openmoji.org/data/color/svg/1F401.svg,imgs/bp08/u05.mp3,,1F401,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F401.png,5
,मार्जारः,8,मार्जारः,p,mārjāraḥ,https://openmoji.org/data/color/svg/1F408.svg,imgs/bp08/u06.mp3,,1F408,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F408.png,6
,मकरः,8,मकरः,p,makaraḥ,https://openmoji.org/data/color/svg/1F40A.svg,imgs/bp08/u07.mp3,,1F40A,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F40A.png,7
,मीनः,8,मीनः,p,mīnaḥ,https://openmoji.org/data/color/svg/1F41F.svg,imgs/bp08/u08.mp3,,1F41F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F41F.png,8
,मण्डूकः,8,मण्डूकः,p,maṇḍūkaḥ,imgs/bp08/c09.png,imgs/bp08/u09.mp3,,1F438,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F438.png,9
,धेनुः,8,धेनुः,p,dhenuḥ,https://openmoji.org/data/color/svg/1F404.svg,imgs/bp08/u10.mp3,,1F404,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F404.png,10
,चिक्रोडः,8,चिक्रोडः,p,cikroḍaḥ,https://openmoji.org/data/color/svg/1F43F.svg,imgs/bp08/u11.mp3,,1F43F,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F43F.png,11
,गर्दभः,8,गर्दभः,p,gardabhaḥ,https://openmoji.org/data/color/svg/E001.svg,imgs/bp08/u12.mp3,,E001,,,,,,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/E001.png,12
,खादति,8,खादति,k,khādati,imgs/bp02/c13.png,imgs/bp02/u13.mp3,,,,,,,,,13
